ID,population_2017
"kansas,ottawa",5834
"kansas,pawnee",6670
"kansas,phillips",5400
"kansas,pottawatomie",23972
"kansas,pratt",9513
"kansas,rawlins",2485
"kansas,reno",62688
"kansas,republic",4675
"kansas,rice",9598
"kansas,riley",73982
"kansas,rooks",5067
"kansas,rush",3065
"kansas,russell",6929
"kansas,saline",54529
"kansas,scott",4943
"kansas,sedgwick",513289
"kansas,seward",22199
"kansas,shawnee",178173
"kansas,sheridan",2531
"kansas,sherman",5948
"kansas,smith",3636
"kansas,stafford",4207
"kansas,stanton",2029
"kansas,stevens",5573
"kansas,sumner",23098
"kansas,thomas",7830
"kansas,trego",2848
"kansas,wabaunsee",6839
"kansas,wallace",1526
"kansas,washington",5466
"kansas,wichita",2130
"kansas,wilson",8712
"kansas,woodson",3145
"kansas,wyandotte",165313
"kentucky,adair",19294
"kentucky,allen",20921
"kentucky,anderson",22518
"kentucky,ballard",8021
"kentucky,barren",43815
"kentucky,bath",12378
"kentucky,bell",26904
"kentucky,boone",130611
"kentucky,bourbon",20132
"kentucky,boyd",47759
"kentucky,boyle",29958
"kentucky,bracken",8277
"kentucky,breathitt",12931
"kentucky,breckinridge",20151
"kentucky,bullitt",80284
"kentucky,butler",12798
"kentucky,caldwell",12677
"kentucky,calloway",38865
"kentucky,campbell",92547
"kentucky,carlisle",4828
"kentucky,carroll",10728
"kentucky,carter",27193
"kentucky,casey",15794
"kentucky,christian",71252
"kentucky,clark",35940
"kentucky,clay",20273
"kentucky,clinton",10239
"kentucky,crittenden",9021
"kentucky,cumberland",6696
"kentucky,daviess",100546
"kentucky,edmonson",12248
"kentucky,elliott",7508
"kentucky,estill",14227
"kentucky,fayette",322193
"kentucky,fleming",14428
"kentucky,floyd",36261
"kentucky,franklin",50504
"kentucky,fulton",6204
"kentucky,gallatin",8745
"kentucky,garrard",17497
"kentucky,grant",25000
"kentucky,graves",37173
"kentucky,grayson",26264
"kentucky,green",11064
"kentucky,greenup",35491
"kentucky,hancock",8778
"kentucky,hardin",108226
"kentucky,harlan",26725
"kentucky,harrison",18730
"kentucky,hart",18762
"kentucky,henderson",45989
"kentucky,henry",15994
"kentucky,hickman",4523
"kentucky,hopkins",45369
"kentucky,jackson",13420
"kentucky,jefferson",770377
"kentucky,jessamine",53281
"kentucky,johnson",22571
"kentucky,kenton",165410
"kentucky,knott",15285
"kentucky,knox",31484
"kentucky,larue",14211
"kentucky,laurel",60299
"kentucky,lawrence",15735
"kentucky,lee",6590
"kentucky,leslie",10309
"kentucky,letcher",22328
"kentucky,lewis",13358
"kentucky,lincoln",24498
"kentucky,livingston",9264
"kentucky,logan",27014
"kentucky,lyon",8113
"kentucky,madison",65397
"kentucky,magoffin",17423
"kentucky,marion",9219
"kentucky,marshall",91226
"kentucky,martin",12539
"kentucky,mason",19316
"kentucky,mccracken",31311
"kentucky,mccreary",11495
"kentucky,mclean",17225
"kentucky,meade",28094
"kentucky,menifee",6466
"kentucky,mercer",21588
"kentucky,metcalfe",10079
"kentucky,monroe",10611
"kentucky,montgomery",27956
"kentucky,morgan",13211
"kentucky,muhlenberg",30923
"kentucky,nelson",45612
"kentucky,nicholas",7137
"kentucky,ohio",24136
"kentucky,oldham",66489
"kentucky,owen",10789
"kentucky,owsley",4416
"kentucky,pendleton",14558
"kentucky,perry",26479
"kentucky,pike",58862
"kentucky,powell",12321
"kentucky,pulaski",64357
"kentucky,robertson",2132
"kentucky,rockcastle",16757
"kentucky,rowan",24562
"kentucky,russell",17739
"kentucky,scott",54790
"kentucky,shelby",47495
"kentucky,simpson",18105
"kentucky,spencer",18471
"kentucky,taylor",25562
"kentucky,todd",12200
"kentucky,trigg",14424
"kentucky,trimble",8565
"kentucky,union",14640
"kentucky,warren",128995
"kentucky,washington",11939
"kentucky,wayne",20621
"kentucky,webster",13071
"kentucky,whitley",36129
"kentucky,wolfe",7245
"kentucky,woodford",26396
"louisiana,acadia",62514
"louisiana,allen",25631
"louisiana,ascension",123028
"louisiana,assumption",22580
"louisiana,avoyelles",40871
"louisiana,beauregard",36847
"louisiana,bienville",13639
"louisiana,bossier",127058
"louisiana,caddo",246034
"louisiana,calcasieu",202330
"louisiana,caldwell",9947
"louisiana,cameron",6926
"louisiana,catahoula",9833
"louisiana,claiborne",16002
"louisiana,concordia",19849
"louisiana,de soto",27265
"louisiana,east baton rouge",443607
"louisiana,east carroll",7133
"louisiana,east feliciana",19408
"louisiana,evangeline",33625
"louisiana,franklin",20261
"louisiana,grant",22322
"louisiana,iberia",72001
"louisiana,iberville",32920
"louisiana,jackson",15893
"louisiana,jefferson",436296
"louisiana,jefferson davis",31491
"louisiana,la salle",241534
"louisiana,lafayette",98202
"louisiana,lafourche",14929
"louisiana,lincoln",47465
"louisiana,livingston",138038
"louisiana,madison",11343
"louisiana,morehouse",25687
"louisiana,natchitoches",39038
"louisiana,orleans",391538
"louisiana,ouachita",155757
"louisiana,plaquemines",23367
"louisiana,pointe coupee",22212
"louisiana,rapides",131282
"louisiana,red river",8519
"louisiana,richland",20415
"louisiana,sabine",24009
"louisiana,st bernard",46108
"louisiana,st charles",52673
"louisiana,st helena",10385
"louisiana,st james",21324
"louisiana,st john the baptist",43339
"louisiana,st landry",83447
"louisiana,st martin",54121
"louisiana,st mary",50672
"louisiana,st tammany",255820
"louisiana,tangipahoa",132322
"louisiana,tensas",4583
